title,price,link_item,image_url,index_,discount_idx,discount_percent_list,countReviews,type,category,subcategory,official_idx,official
Bao cao su siêu mỏng OLO 001 Đen Siêu mỏng nhiều gel bôi trơn kéo dài thời gian quan hệ hương vani Feeling Ultrathin - Hộp 10 bao,50.096 ₫,https://www.lazada.vn/products/bao-cao-su-sieu-mong-olo-001-den-sieu-mong-nhieu-gel-boi-tron-keo-dai-thoi-gian-quan-he-huong-vani-feeling-ultrathin-hop-10-bao-i2105020282.html,https://img.lazcdn.com/g/p/a71a3ddad3c050bb79da46c341292247.png_400x400q75.png_.webp,4,4,49% Off,"3.4K Đã bán
(483)
Hồ Chí Minh",lazada,health,sex,4,0
"Gel Bôi Trơn OLO Gốc Nước, Gel Dạng Gói Tiện Dụng, Gốc nước 7ML",1.000 ₫,https://www.lazada.vn/products/gel-boi-tron-olo-goc-nuoc-gel-dang-goi-tien-dung-goc-nuoc-7ml-i1298054564.html,https://img.lazcdn.com/g/p/20cb6e5c781d7161d58ae188fda7344f.jpg_400x400q75.jpg_.webp,5,5,50% Off,"1.5K Đã bán
(56)
Hà Nội",lazada,health,sex,5,0
"Bao cao su nam Sagami Speamint ( 20 cái) - baocaosu Sagami chính hãng kéo dài quan hệ giúp lâu ra hơn, bcs bạc hà siêu mỏng",206.000 ₫,https://www.lazada.vn/products/bao-cao-su-nam-sagami-speamint-20-cai-baocaosu-sagami-chinh-hang-keo-dai-quan-he-giup-lau-ra-hon-bcs-bac-ha-sieu-mong-i1810850363.html,https://img.lazcdn.com/g/p/9f335d9239e7d8d29b1e6fd787c7ac82.png_400x400q75.png_.webp,6,6,31% Off,"674 Đã bán
(111)
Hà Nội",lazada,health,sex,6,1
Gel Bôi Trơn Nhật Bản Trong Suốt Vanessa & Co 200ml Tặng Kèm Vòi Bơm Gel Tiện Dụng,48.807 ₫,https://www.lazada.vn/products/gel-boi-tron-nhat-ban-trong-suot-vanessa-co-200ml-tang-kem-voi-bom-gel-tien-dung-i1298005614.html,https://img.lazcdn.com/g/p/00c7e52e385c3ff862e9220818e8f904.png_400x400q75.png_.webp,7,7,16% Off,"2.9K Đã bán
(558)
Hà Nội",lazada,health,sex,7,0
(Che tên SP)Gel bôi trơn dạng gói tiện lợi 5 gr,13.000 ₫,https://www.lazada.vn/products/che-ten-spgel-boi-tron-dang-goi-tien-loi-5-gr-i1865042073.html,https://img.lazcdn.com/g/ff/kf/S04a8df88f64449fdb84ad6bc7676bc6dJ.jpg_400x400q75.jpg_.webp,8,8,48% Off,"8 Đã bán
Hồ Chí Minh",lazada,health,sex,8,0
"Bao cao su OLEO Lampo Cooling Siêu mỏng, Kéo dài thời gian mát lạnh 10 bao",31.881 ₫,https://www.lazada.vn/products/bao-cao-su-oleo-lampo-cooling-sieu-mong-keo-dai-thoi-gian-mat-lanh-10-bao-i1987951077.html,https://img.lazcdn.com/g/p/43c186415be5436576c5b4a71aec8467.jpg_400x400q75.jpg_.webp,9,9,52% Off,"31 Đã bán
(11)
Hồ Chí Minh",lazada,health,sex,9,0
"[Voucher giảm 60K đơn từ 349K] Bộ 2 hộp bao cao su Durex Performa kéo dài thời gian, size 52mm, 12 bao/hộp",425.000 ₫,https://www.lazada.vn/products/voucher-giam-60k-don-tu-349k-bo-2-hop-bao-cao-su-durex-performa-keo-dai-thoi-gian-size-52mm-12-baohop-i2008570709.html,https://img.lazcdn.com/g/ff/kf/Sa3ed2b4d7abc4d84927ccd2046d700b2s.jpg_400x400q75.jpg_.webp,10,10,"31% Off
LazFlash Sale,kết thúc sau 1 ngày","1.8K Đã bán
(335)
Bắc Ninh",lazada,health,sex,10,1
Bao cao su nội địa trung HA xanh vẫn cứ là ok,130.000 ₫,https://www.lazada.vn/products/bao-cao-su-noi-dia-trung-ha-xanh-van-cu-la-ok-i2058185890.html,https://img.lazcdn.com/g/p/352a61d40aaed7cdc0973c2c6df1529a.jpg_400x400q75.jpg_.webp,11,11,,"23 Đã bán
Hà Nam",lazada,health,sex,11,0
Gel Bôi Trơn Nhật Bản Vanessa 200ml,21.000 ₫,https://www.lazada.vn/products/gel-boi-tron-nhat-ban-vanessa-200ml-i2603377733.html,https://img.lazcdn.com/g/p/772d4ea6f98856125d00ba7326b5395d.jpg_400x400q75.jpg_.webp,12,12,46% Off,"116 Đã bán
(22)
Hưng Yên",lazada,health,sex,12,0
"[Voucher giảm tối đa 45K đơn từ 349K] Bao cao su Durex Kingtex ôm sát, bôi trơn, size 49mm, hộp 12 bao",109.000 ₫,https://www.lazada.vn/products/voucher-giam-toi-da-45k-don-tu-349k-bao-cao-su-durex-kingtex-om-sat-boi-tron-size-49mm-hop-12-bao-i331084251.html,https://img.lazcdn.com/g/ff/kf/Sc8fb7ad475a241b0bd7168a718d7bf1e0.jpg_400x400q75.jpg_.webp,13,13,"44% Off
LazFlash Sale,kết thúc sau 1 ngày","35.2K Đã bán
(5418)
Bắc Ninh",lazada,health,sex,13,1
Bộ 2 Hộp Bao cao su Innova 12 bao ( Hộp Đen - Siêu Gai ) - Hỗ trợ Kéo dài thời gian quan hệ,149.182 ₫,https://www.lazada.vn/products/bo-2-hop-bao-cao-su-innova-12-bao-hop-den-sieu-gai-ho-tro-keo-dai-thoi-gian-quan-he-i1633572338.html,https://img.lazcdn.com/g/p/6346705a9c9dd4db607062abce223580.jpg_400x400q75.jpg_.webp,14,14,39% Off,"1.4K Đã bán
(275)
Hồ Chí Minh",lazada,health,sex,14,1
Gel bôi trơn Vanessa eco hàng nhật-200ml,21.000 ₫,https://www.lazada.vn/products/gel-boi-tron-vanessa-eco-hang-nhat-200ml-i2603485438.html,https://img.lazcdn.com/g/p/8538c4ce8ac7c0382ee6d5bddb9533b0.jpg_400x400q75.jpg_.webp,15,15,46% Off,"18 Đã bán
(6)
Hưng Yên",lazada,health,sex,15,0
"Bao cao su Feelex superthin siêu mỏng, nhiều gel bôi trơn, hương dâu - hộp 30 bcs",160.000 ₫,https://www.lazada.vn/products/bao-cao-su-feelex-superthin-sieu-mong-nhieu-gel-boi-tron-huong-dau-hop-30-bcs-i2513277639.html,https://img.lazcdn.com/g/p/282d91e70f7057c8b570a011eaad96a4.jpg_400x400q75.jpg_.webp,16,16,,Hồ Chí Minh,lazada,health,sex,16,0
